Wn	Wp	Vout	Vin
4.25	4.4	9.002746e-01	7.590000e-01
4.25	5	9.005855e-01	7.750000e-01
4.3	1.65	9.000276e-01	6.550000e-01
4.3	1.95	8.990996e-01	6.700000e-01
4.3	2.4	8.991600e-01	6.900000e-01
4.3	2.45	9.006834e-01	6.920000e-01
4.3	2.7	9.004908e-01	7.020000e-01
4.3	2.75	8.990077e-01	7.040000e-01
4.3	3.8	9.002224e-01	7.400000e-01
4.3	4.1	9.009513e-01	7.490000e-01
4.3	4.2	8.991520e-01	7.520000e-01
4.3	4.45	9.003961e-01	7.590000e-01
4.3	4.9	9.007822e-01	7.710000e-01
4.35	1.5	8.992022e-01	6.460000e-01
4.35	1.65	9.005806e-01	6.540000e-01
4.35	2.55	8.992050e-01	6.950000e-01
4.35	3.65	9.003363e-01	7.340000e-01
4.35	4.25	9.008497e-01	7.520000e-01
4.35	4.5	9.005148e-01	7.590000e-01
4.35	4.8	9.008871e-01	7.670000e-01
4.4	1.5	9.007801e-01	6.450000e-01
4.4	2.15	9.006721e-01	6.770000e-01
4.4	3.35	8.999460e-01	7.230000e-01
4.4	3.95	8.993069e-01	7.420000e-01
4.4	4.55	9.006307e-01	7.590000e-01
4.4	4.7	9.008810e-01	7.630000e-01
4.4	4.85	8.993105e-01	7.670000e-01
4.45	2.15	8.997955e-01	6.760000e-01
4.45	3.15	8.995470e-01	7.150000e-01
4.45	4.2	8.995362e-01	7.480000e-01
4.45	4.45	8.994726e-01	7.550000e-01
4.45	4.6	9.007440e-01	7.590000e-01
4.45	4.75	9.001463e-01	7.630000e-01
4.5	1.05	8.993377e-01	6.160000e-01
4.5	2.15	8.992343e-01	6.750000e-01
4.5	4.5	9.004548e-01	7.550000e-01
4.5	4.65	9.008546e-01	7.590000e-01
4.5	4.8	8.994265e-01	7.630000e-01
4.55	1.25	8.994043e-01	6.280000e-01
4.55	1.3	8.994442e-01	6.310000e-01
4.55	1.55	9.006999e-01	6.450000e-01
4.55	2.85	8.993927e-01	7.020000e-01
